x,y,z,v_x,v_y,v_z,roll,pitch,yaw,angular_v
0.0,0.0,1.1442383999999988,0.0,0.0,2.1189599999999986,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.1655260999999988,0.0,0.0,2.138579999999999,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.1870099999999988,0.0,0.0,2.158199999999999,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.2086900999999988,0.0,0.0,2.177819999999999,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.2305663999999987,0.0,0.0,2.1974399999999994,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.2526388999999987,0.0,0.0,2.2170599999999996,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.2749075999999986,0.0,0.0,2.23668,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.2973724999999985,0.0,0.0,2.2563,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.3200335999999986,0.0,0.0,2.27592,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.3428908999999987,0.0,0.0,2.2955400000000004,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.3659443999999987,0.0,0.0,2.3151600000000006,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.3891940999999988,0.0,0.0,2.3347800000000007,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.4126399999999988,0.0,0.0,2.354400000000001,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.4362820999999988,0.0,0.0,2.374020000000001,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.4601203999999988,0.0,0.0,2.3936400000000013,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.4841548999999987,0.0,0.0,2.4132600000000015,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.5083855999999987,0.0,0.0,2.4328800000000017,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.5328124999999986,0.0,0.0,2.452500000000002,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.5574355999999987,0.0,0.0,2.472120000000002,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.5822548999999988,0.0,0.0,2.4917400000000023,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.6072703999999989,0.0,0.0,2.5113600000000025,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.632482099999999,0.0,0.0,2.5309800000000027,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.657889999999999,0.0,0.0,2.550600000000003,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.683494099999999,0.0,0.0,2.570220000000003,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.709294399999999,0.0,0.0,2.5898400000000033,0.0,0.0,0.0,[0. 0. 0.]
